Distance,Ripley's L (t = 0),Ripley's L (t = 20)
275,-0.008083001,-0.008400655
276,-0.008113873,-0.008516758
277,-0.008193783,-0.00856976
278,-0.008228051,-0.008632887
279,-0.00830428,-0.008667791
280,-0.008356161,-0.008735849
281,-0.008438072,-0.008773704
282,-0.008505514,-0.008832916
283,-0.008548341,-0.008869161
284,-0.008617118,-0.008947121
285,-0.008665919,-0.009023835
286,-0.008736173,-0.009132884
287,-0.0088019,-0.009170412
288,-0.008854758,-0.009240622
289,-0.008913015,-0.009299177
290,-0.008994011,-0.009328912
291,-0.009042042,-0.009414333
292,-0.009094383,-0.009462218
293,-0.009166591,-0.009547079
294,-0.009228747,-0.009611914
295,-0.009296745,-0.009640179
296,-0.009352552,-0.009700665
297,-0.009426437,-0.009805169
298,-0.009465022,-0.00986545
299,-0.00954447,-0.009885227
300,-0.009597409,-0.009949722
301,-0.009661129,-0.010025123
302,-0.009726547,-0.010098539
303,-0.009812554,-0.010169092
304,-0.009858052,-0.01027394
305,-0.009918814,-0.010328845
306,-0.009991623,-0.010398074
307,-0.010074857,-0.010411351
308,-0.010145196,-0.010517444
309,-0.010189695,-0.010550231
310,-0.010252567,-0.010620865
311,-0.010321002,-0.010674991
312,-0.010389231,-0.0108043
313,-0.010466983,-0.010818604
314,-0.010507498,-0.0109026
315,-0.010603901,-0.010968375
316,-0.010641944,-0.011037708
317,-0.010766282,-0.011110956
318,-0.010788166,-0.011151991
319,-0.010851502,-0.011303654
320,-0.010950059,-0.011303034
321,-0.011000063,-0.011324334
322,-0.011078756,-0.011404796
323,-0.01115706,-0.011504032
324,-0.01119647,-0.011607924
325,-0.011287007,-0.011710328
326,-0.011353929,-0.011736737
327,-0.011427784,-0.011803287
328,-0.011471034,-0.011858009
329,-0.011552891,-0.011928441
330,-0.011646402,-0.01199515
331,-0.011696261,-0.012090867
332,-0.01174534,-0.012110445
333,-0.011826995,-0.012197375
334,-0.011908816,-0.012287933
335,-0.011987252,-0.012366731
336,-0.012072211,-0.012432751
337,-0.012128886,-0.012490632
338,-0.01220219,-0.012612153
339,-0.01225954,-0.012642523
340,-0.012371924,-0.01281906
341,-0.012420084,-0.012792057
342,-0.012485694,-0.012875411
343,-0.012568038,-0.012955835
344,-0.012665346,-0.013054883
345,-0.012713274,-0.01312137
346,-0.012785917,-0.01312299
347,-0.012860193,-0.013133978
348,-0.012937739,-0.013356452
349,-0.012996136,-0.013387165
350,-0.013115376,-0.013471141
351,-0.013134382,-0.013573936
352,-0.013246979,-0.013700888
353,-0.013274585,-0.013758218
354,-0.013356916,-0.013667592
355,-0.013455743,-0.013844567
356,-0.013522912,-0.013930017
357,-0.013596989,-0.014008465
358,-0.013690624,-0.014086394
359,-0.013782321,-0.014176009
360,-0.013830926,-0.014299429
361,-0.013915664,-0.014329232
362,-0.014004346,-0.014395414
363,-0.014064531,-0.014505138
364,-0.01414072,-0.014555974
365,-0.014213575,-0.014654451
366,-0.014274853,-0.014704768
367,-0.014369862,-0.014739257
368,-0.014461205,-0.014991079
369,-0.014538895,-0.014829814
370,-0.014633148,-0.015025353
371,-0.014696238,-0.015077807
372,-0.014761259,-0.0151646
373,-0.014848965,-0.015245943
374,-0.014923374,-0.015348335
375,-0.015014432,-0.015440911
376,-0.015071155,-0.015513419
377,-0.015192978,-0.015605564
378,-0.015216004,-0.015638756
379,-0.015338209,-0.015738385
380,-0.015409779,-0.015920948
381,-0.015531683,-0.015913818
382,-0.015588105,-0.015947494
383,-0.015691082,-0.016066548
384,-0.015759811,-0.016157178
385,-0.015823817,-0.016302334
386,-0.015936406,-0.016327969
387,-0.01599964,-0.0164781
388,-0.016087386,-0.016479072
389,-0.016162403,-0.016625826
390,-0.0162512,-0.016693886
391,-0.016336294,-0.016828122
392,-0.016433341,-0.01683723
393,-0.016471736,-0.016966064
394,-0.016571077,-0.017075144
395,-0.016699121,-0.017133594
396,-0.016769413,-0.017160018
397,-0.016854377,-0.01725907
398,-0.016924609,-0.017359738
399,-0.017033203,-0.017540521
400,-0.01709215,-0.017481557
401,-0.017156135,-0.017704662
402,-0.017270676,-0.017701292
403,-0.017331316,-0.017729709
404,-0.017435962,-0.017828379
405,-0.017511651,-0.018001095
406,-0.017618934,-0.018093651
407,-0.01768679,-0.018064037
408,-0.017820882,-0.018114039
409,-0.017892856,-0.018325376
410,-0.017961466,-0.018402092
411,-0.018067472,-0.018418172
412,-0.01811565,-0.018660079
413,-0.018214151,-0.018656602
414,-0.018328901,-0.018769203
415,-0.018374422,-0.018837061
416,-0.018497922,-0.018891304
417,-0.018609041,-0.019069741
418,-0.018659306,-0.019154479
419,-0.018729905,-0.019157995
420,-0.018837722,-0.019347997
421,-0.018942212,-0.019435268
422,-0.019015634,-0.019453038
423,-0.019133475,-0.019523337
424,-0.01925268,-0.019650789
425,-0.019329221,-0.019797988
426,-0.019391682,-0.019855034
427,-0.019491576,-0.020045872
428,-0.019570133,-0.020076989
429,-0.019638949,-0.020099291
430,-0.019734334,-0.020154833
431,-0.019821883,-0.020239468
432,-0.019946287,-0.020355401
433,-0.020060582,-0.020506062
434,-0.020109304,-0.020526874
435,-0.020216172,-0.020707186
436,-0.020288603,-0.020835797
437,-0.020412414,-0.020820379
438,-0.020512116,-0.020947102
439,-0.020598018,-0.02103126
440,-0.020678396,-0.021143478
441,-0.020806742,-0.021230203
442,-0.020865167,-0.021270813
443,-0.020940591,-0.021375049
444,-0.021111508,-0.021458841
445,-0.021191709,-0.021629424
446,-0.021277204,-0.021655001
447,-0.021371845,-0.021864957
448,-0.021463719,-0.021848824
449,-0.02149786,-0.021946902
450,-0.021644228,-0.022097012
451,-0.021766427,-0.022228524
452,-0.021837981,-0.022240929
453,-0.021918154,-0.022330035
454,-0.022031055,-0.022481276
455,-0.022112777,-0.022623202
456,-0.022237255,-0.022624395
457,-0.022314541,-0.022790514
458,-0.022377557,-0.022867308
459,-0.022523142,-0.023036573
460,-0.022622256,-0.023008877
461,-0.022727395,-0.023219016
462,-0.022856886,-0.023270763
463,-0.022963875,-0.023495677
464,-0.023011941,-0.023489319
465,-0.023105601,-0.023607304
466,-0.023263823,-0.023676071
467,-0.023304566,-0.023682757
468,-0.023447937,-0.023772893
469,-0.023508917,-0.023949992
470,-0.023636178,-0.024080083
471,-0.023743673,-0.024184693
472,-0.023771619,-0.024271312
473,-0.023937057,-0.024475803
474,-0.024007184,-0.024457108
475,-0.024147236,-0.024701183
476,-0.024291566,-0.024675585
477,-0.02431383,-0.024778796
478,-0.024433446,-0.024909972
479,-0.024547446,-0.025008961
480,-0.024658856,-0.025066905
481,-0.024726799,-0.025206776
482,-0.024821865,-0.025164477
483,-0.024925588,-0.025415137
484,-0.025068495,-0.025587719
485,-0.025154401,-0.025670899
486,-0.025290077,-0.025767564
487,-0.025357255,-0.025757804
488,-0.025442578,-0.026099488
489,-0.025542349,-0.026014513
490,-0.025664617,-0.026118785
491,-0.025818031,-0.026250655
492,-0.025874021,-0.026312583
493,-0.025987489,-0.02631119
494,-0.026062963,-0.026568764
495,-0.026154664,-0.026603046
496,-0.026321715,-0.026706815
497,-0.026406878,-0.02687543
498,-0.026556222,-0.027004242
499,-0.026694161,-0.027123755
500,-0.026707395,-0.027210157
